"Category","All India"
"26-03-2023 : 21",161377
"26-03-2023 : 22",163590
"26-03-2023 : 23",165311
"26-03-2023 : 24",166385
"26-03-2023 : 25",166663
"26-03-2023 : 26",167108
"26-03-2023 : 27",170825
"26-03-2023 : 28",170929
"26-03-2023 : 29",172146
"26-03-2023 : 30",172635
"26-03-2023 : 31",173680
"26-03-2023 : 32",174356
"26-03-2023 : 33",174334
"26-03-2023 : 34",175364
"26-03-2023 : 35",175451
"26-03-2023 : 36",176110
"26-03-2023 : 37",176801
"26-03-2023 : 38",178901
"26-03-2023 : 39",179809
"26-03-2023 : 40",180343
"26-03-2023 : 41",180848
"26-03-2023 : 42",180335
"26-03-2023 : 43",180030
"26-03-2023 : 44",179181
"26-03-2023 : 45",178589
"26-03-2023 : 46",179326
"26-03-2023 : 47",178058
"26-03-2023 : 48",177593
"26-03-2023 : 49",177359
"26-03-2023 : 50",175704
"26-03-2023 : 51",175403
"26-03-2023 : 52",175034
"26-03-2023 : 53",173871
"26-03-2023 : 54",171570
"26-03-2023 : 55",170639
"26-03-2023 : 56",170092
"26-03-2023 : 57",169333
"26-03-2023 : 58",167883
"26-03-2023 : 59",167698
"26-03-2023 : 60",167005
"26-03-2023 : 61",166864
"26-03-2023 : 62",166592
"26-03-2023 : 63",166565
"26-03-2023 : 64",165984
"26-03-2023 : 65",165922
"26-03-2023 : 66",163367
"26-03-2023 : 67",163482
"26-03-2023 : 68",161830
"26-03-2023 : 69",161055
"26-03-2023 : 70",159132
"26-03-2023 : 71",159567
"26-03-2023 : 72",159428
"26-03-2023 : 73",160252
"26-03-2023 : 74",159048
"26-03-2023 : 75",161551
"26-03-2023 : 76",164028
"26-03-2023 : 77",166702
"26-03-2023 : 78",168728
"26-03-2023 : 79",168189
"26-03-2023 : 80",167501
"26-03-2023 : 81",165044
"26-03-2023 : 82",164294
"26-03-2023 : 83",163154
"26-03-2023 : 84",161359
"26-03-2023 : 85",160924
"26-03-2023 : 86",161388
"26-03-2023 : 87",160729
"26-03-2023 : 88",160030
"26-03-2023 : 89",159669
"26-03-2023 : 90",160879
"26-03-2023 : 91",160887
"26-03-2023 : 92",160220
"26-03-2023 : 93",159164
"26-03-2023 : 94",158737
"26-03-2023 : 95",158801
"26-03-2023 : 96",157590
"27-03-2023 : 1",156983
"27-03-2023 : 2",156891
"27-03-2023 : 3",156508
"27-03-2023 : 4",155824
"27-03-2023 : 5",155040
"27-03-2023 : 6",153907
"27-03-2023 : 7",153648
"27-03-2023 : 8",153309
"27-03-2023 : 9",151877
"27-03-2023 : 10",151346
"27-03-2023 : 11",150964
"27-03-2023 : 12",151022
"27-03-2023 : 13",150178
"27-03-2023 : 14",150717
"27-03-2023 : 15",151365
"27-03-2023 : 16",151659
"27-03-2023 : 17",152501
"27-03-2023 : 18",153642
"27-03-2023 : 19",154891
"27-03-2023 : 20",155401
"27-03-2023 : 21",156951
"27-03-2023 : 22",158856
"27-03-2023 : 23",161310
"27-03-2023 : 24",163406
"27-03-2023 : 25",165338
"27-03-2023 : 26",166876
"27-03-2023 : 27",171238
"27-03-2023 : 28",172147
"27-03-2023 : 29",173804
"27-03-2023 : 30",174723
"27-03-2023 : 31",175736
"27-03-2023 : 32",177525
"27-03-2023 : 33",177321
"27-03-2023 : 34",178146
"27-03-2023 : 35",179536
"27-03-2023 : 36",180603
"27-03-2023 : 37",181880
"27-03-2023 : 38",184508
"27-03-2023 : 39",185708
"27-03-2023 : 40",187457
"27-03-2023 : 41",188035
"27-03-2023 : 42",188031
"27-03-2023 : 43",188849
"27-03-2023 : 44",188255
"27-03-2023 : 45",187924
"27-03-2023 : 46",187996
"27-03-2023 : 47",188242
"27-03-2023 : 48",187430
"27-03-2023 : 49",186798
"27-03-2023 : 50",185995
"27-03-2023 : 51",185921
"27-03-2023 : 52",184672
"27-03-2023 : 53",183212
"27-03-2023 : 54",179219
"27-03-2023 : 55",179029
"27-03-2023 : 56",179060
"27-03-2023 : 57",179591
"27-03-2023 : 58",179258
"27-03-2023 : 59",181094
"27-03-2023 : 60",181923
"27-03-2023 : 61",181766
"27-03-2023 : 62",181035
"27-03-2023 : 63",181970
"27-03-2023 : 64",180011
"27-03-2023 : 65",178926
"27-03-2023 : 66",177091
"27-03-2023 : 67",177259
"27-03-2023 : 68",176459
"27-03-2023 : 69",175639
"27-03-2023 : 70",172520
"27-03-2023 : 71",171644
"27-03-2023 : 72",170537
"27-03-2023 : 73",171975
"27-03-2023 : 74",170732
"27-03-2023 : 75",173623
"27-03-2023 : 76",176085
"27-03-2023 : 77",180014
"27-03-2023 : 78",182814
"27-03-2023 : 79",182197
"27-03-2023 : 80",181005
"27-03-2023 : 81",179060
"27-03-2023 : 82",176633
"27-03-2023 : 83",175710
"27-03-2023 : 84",173061
"27-03-2023 : 85",171882
"27-03-2023 : 86",171890
"27-03-2023 : 87",171978
"27-03-2023 : 88",170182
"27-03-2023 : 89",170547
"27-03-2023 : 90",172144
"27-03-2023 : 91",171716
"27-03-2023 : 92",171416
"27-03-2023 : 93",170706
"27-03-2023 : 94",169619
"27-03-2023 : 95",168743
"27-03-2023 : 96",168115
"28-03-2023 : 1",167291
"28-03-2023 : 2",166707
"28-03-2023 : 3",166573
"28-03-2023 : 4",165780
"28-03-2023 : 5",165114
"28-03-2023 : 6",164321
"28-03-2023 : 7",163749
"28-03-2023 : 8",162759
"28-03-2023 : 9",162272
"28-03-2023 : 10",161668
"28-03-2023 : 11",161099
"28-03-2023 : 12",160610
"28-03-2023 : 13",160257
"28-03-2023 : 14",160592
"28-03-2023 : 15",160673
"28-03-2023 : 16",161101
"28-03-2023 : 17",161633
"28-03-2023 : 18",162453
"28-03-2023 : 19",163642
"28-03-2023 : 20",164675
"28-03-2023 : 21",165512
"28-03-2023 : 22",166456
"28-03-2023 : 23",168244
"28-03-2023 : 24",169775
"28-03-2023 : 25",172087
"28-03-2023 : 26",173610
"28-03-2023 : 27",176346
"28-03-2023 : 28",178557
"28-03-2023 : 29",179679
"28-03-2023 : 30",180526
"28-03-2023 : 31",181801
"28-03-2023 : 32",181795
"28-03-2023 : 33",182054
"28-03-2023 : 34",183329
"28-03-2023 : 35",185325
"28-03-2023 : 36",186172
"28-03-2023 : 37",187416
"28-03-2023 : 38",190871
"28-03-2023 : 39",192279
"28-03-2023 : 40",193230
"28-03-2023 : 41",193688
"28-03-2023 : 42",193527
"28-03-2023 : 43",193404
"28-03-2023 : 44",193022
"28-03-2023 : 45",193110
"28-03-2023 : 46",191858
"28-03-2023 : 47",191641
"28-03-2023 : 48",192173
"28-03-2023 : 49",191979
"28-03-2023 : 50",190614
"28-03-2023 : 51",191127
"28-03-2023 : 52",189538
"28-03-2023 : 53",187603
"28-03-2023 : 54",183127
"28-03-2023 : 55",183380
"28-03-2023 : 56",183467
"28-03-2023 : 57",183260
"28-03-2023 : 58",183870
"28-03-2023 : 59",185364
"28-03-2023 : 60",185797
"28-03-2023 : 61",185621
"28-03-2023 : 62",184321
"28-03-2023 : 63",184861
"28-03-2023 : 64",184721
"28-03-2023 : 65",184886
"28-03-2023 : 66",182629
"28-03-2023 : 67",182723
"28-03-2023 : 68",182485
"28-03-2023 : 69",181047
"28-03-2023 : 70",178123
"28-03-2023 : 71",177330
"28-03-2023 : 72",175384
"28-03-2023 : 73",176455
"28-03-2023 : 74",175223
"28-03-2023 : 75",178164
"28-03-2023 : 76",181141
"28-03-2023 : 77",184097
"28-03-2023 : 78",185250
"28-03-2023 : 79",184671
"28-03-2023 : 80",182687
"28-03-2023 : 81",180480
"28-03-2023 : 82",179111
"28-03-2023 : 83",177948
"28-03-2023 : 84",175903
"28-03-2023 : 85",174554
"28-03-2023 : 86",175482
"28-03-2023 : 87",175332
"28-03-2023 : 88",174185
"28-03-2023 : 89",172573
"28-03-2023 : 90",173988
"28-03-2023 : 91",174099
"28-03-2023 : 92",173510
"28-03-2023 : 93",172330
"28-03-2023 : 94",171316
"28-03-2023 : 95",170748
"28-03-2023 : 96",170609
"29-03-2023 : 1",169481
"29-03-2023 : 2",168519
"29-03-2023 : 3",168211
"29-03-2023 : 4",167234
"29-03-2023 : 5",166405
"29-03-2023 : 6",165530
"29-03-2023 : 7",164757
"29-03-2023 : 8",164839
"29-03-2023 : 9",164414
"29-03-2023 : 10",163868
"29-03-2023 : 11",163359
"29-03-2023 : 12",163409
"29-03-2023 : 13",162540
"29-03-2023 : 14",162412
"29-03-2023 : 15",163178
"29-03-2023 : 16",163401
"29-03-2023 : 17",164023
"29-03-2023 : 18",164341
"29-03-2023 : 19",165912
"29-03-2023 : 20",166553
"29-03-2023 : 21",167802
"29-03-2023 : 22",168947
"29-03-2023 : 23",170535
"29-03-2023 : 24",172774
"29-03-2023 : 25",174177
"29-03-2023 : 26",175853
"29-03-2023 : 27",178353
"29-03-2023 : 28",179643
"29-03-2023 : 29",180910
"29-03-2023 : 30",182051
"29-03-2023 : 31",182040
"29-03-2023 : 32",182331
"29-03-2023 : 33",182432
"29-03-2023 : 34",183984
"29-03-2023 : 35",185208
"29-03-2023 : 36",186034
"29-03-2023 : 37",186585
"29-03-2023 : 38",189130
"29-03-2023 : 39",190767
"29-03-2023 : 40",192360
"29-03-2023 : 41",193625
"29-03-2023 : 42",193966
"29-03-2023 : 43",193934
"29-03-2023 : 44",193957
"29-03-2023 : 45",193937
"29-03-2023 : 46",193412
"29-03-2023 : 47",193718
"29-03-2023 : 48",192972
"29-03-2023 : 49",192290
"29-03-2023 : 50",191023
"29-03-2023 : 51",190911
"29-03-2023 : 52",190479
"29-03-2023 : 53",189435
"29-03-2023 : 54",185157
"29-03-2023 : 55",184662
"29-03-2023 : 56",185101
"29-03-2023 : 57",184644
"29-03-2023 : 58",184407
"29-03-2023 : 59",185143
"29-03-2023 : 60",185353
"29-03-2023 : 61",185468
"29-03-2023 : 62",183865
"29-03-2023 : 63",184595
"29-03-2023 : 64",184163
"29-03-2023 : 65",184637
"29-03-2023 : 66",183051
"29-03-2023 : 67",183194
"29-03-2023 : 68",181848
"29-03-2023 : 69",180936
"29-03-2023 : 70",178204
"29-03-2023 : 71",177963
"29-03-2023 : 72",176108
"29-03-2023 : 73",176157
"29-03-2023 : 74",175173
"29-03-2023 : 75",176937
"29-03-2023 : 76",180042
"29-03-2023 : 77",182427
"29-03-2023 : 78",183615
"29-03-2023 : 79",184168
"29-03-2023 : 80",182462
"29-03-2023 : 81",180054
"29-03-2023 : 82",178117
"29-03-2023 : 83",176852
"29-03-2023 : 84",176113
"29-03-2023 : 85",174596
"29-03-2023 : 86",175349
"29-03-2023 : 87",174417
"29-03-2023 : 88",173920
"29-03-2023 : 89",172821
"29-03-2023 : 90",175143
"29-03-2023 : 91",174905
"29-03-2023 : 92",174355
"29-03-2023 : 93",173315
"29-03-2023 : 94",173185
"29-03-2023 : 95",172865
"29-03-2023 : 96",171199
"30-03-2023 : 1",170548
"30-03-2023 : 2",169731
"30-03-2023 : 3",169241
"30-03-2023 : 4",168396
"30-03-2023 : 5",167891
"30-03-2023 : 6",166592
"30-03-2023 : 7",165736
"30-03-2023 : 8",165151
"30-03-2023 : 9",164026
"30-03-2023 : 10",163045
"30-03-2023 : 11",162898
"30-03-2023 : 12",162458
"30-03-2023 : 13",162198
"30-03-2023 : 14",161939
"30-03-2023 : 15",162792
"30-03-2023 : 16",163174
"30-03-2023 : 17",164342
"30-03-2023 : 18",165910
"30-03-2023 : 19",165968
"30-03-2023 : 20",167184
"30-03-2023 : 21",168149
"30-03-2023 : 22",169339
"30-03-2023 : 23",170625
"30-03-2023 : 24",172362
"30-03-2023 : 25",173532
"30-03-2023 : 26",174409
"30-03-2023 : 27",177650
"30-03-2023 : 28",178222
"30-03-2023 : 29",178629
"30-03-2023 : 30",179146
"30-03-2023 : 31",181248
"30-03-2023 : 32",180768
"30-03-2023 : 33",180632
"30-03-2023 : 34",182134
"30-03-2023 : 35",184192
"30-03-2023 : 36",186463
"30-03-2023 : 37",187214
"30-03-2023 : 38",189787
"30-03-2023 : 39",191237
"30-03-2023 : 40",190472
"30-03-2023 : 41",192228
"30-03-2023 : 42",192437
"30-03-2023 : 43",193069
"30-03-2023 : 44",194002
"30-03-2023 : 45",194956
"30-03-2023 : 46",194099
"30-03-2023 : 47",194950
"30-03-2023 : 48",195066
"30-03-2023 : 49",193996
"30-03-2023 : 50",192984
"30-03-2023 : 51",192400
"30-03-2023 : 52",190974
"30-03-2023 : 53",189439
"30-03-2023 : 54",185886
"30-03-2023 : 55",184926
"30-03-2023 : 56",185593
"30-03-2023 : 57",185775
"30-03-2023 : 58",185669
"30-03-2023 : 59",186513
"30-03-2023 : 60",186880
"30-03-2023 : 61",186567
"30-03-2023 : 62",186066
"30-03-2023 : 63",185286
"30-03-2023 : 64",184121
"30-03-2023 : 65",183774
"30-03-2023 : 66",181059
"30-03-2023 : 67",180759
"30-03-2023 : 68",179383
"30-03-2023 : 69",178268
"30-03-2023 : 70",174647
"30-03-2023 : 71",172528
"30-03-2023 : 72",170107
"30-03-2023 : 73",169675
"30-03-2023 : 74",167915
"30-03-2023 : 75",168730
"30-03-2023 : 76",170460
"30-03-2023 : 77",171942
"30-03-2023 : 78",173219
"30-03-2023 : 79",173585
"30-03-2023 : 80",170434
"30-03-2023 : 81",168217
"30-03-2023 : 82",166077
"30-03-2023 : 83",165053
"30-03-2023 : 84",164794
"30-03-2023 : 85",164163
"30-03-2023 : 86",164728
"30-03-2023 : 87",163598
"30-03-2023 : 88",163158
"30-03-2023 : 89",162445
"30-03-2023 : 90",163796
"30-03-2023 : 91",164585
"30-03-2023 : 92",164004
"30-03-2023 : 93",163465
"30-03-2023 : 94",163479
"30-03-2023 : 95",163428
"30-03-2023 : 96",162503
"31-03-2023 : 1",161872
"31-03-2023 : 2",160761
"31-03-2023 : 3",160564
"31-03-2023 : 4",159952
"31-03-2023 : 5",159144
"31-03-2023 : 6",158079
"31-03-2023 : 7",157379
"31-03-2023 : 8",156605
"31-03-2023 : 9",155523
"31-03-2023 : 10",154946
"31-03-2023 : 11",154913
"31-03-2023 : 12",153762
"31-03-2023 : 13",153672
"31-03-2023 : 14",153609
"31-03-2023 : 15",153589
"31-03-2023 : 16",153459
"31-03-2023 : 17",153654
"31-03-2023 : 18",154844
"31-03-2023 : 19",154809
"31-03-2023 : 20",156021
"31-03-2023 : 21",157232
"31-03-2023 : 22",158519
"31-03-2023 : 23",160222
"31-03-2023 : 24",161955
"31-03-2023 : 25",163293
"31-03-2023 : 26",164550
"31-03-2023 : 27",167717
"31-03-2023 : 28",168997
"31-03-2023 : 29",170003
"31-03-2023 : 30",171027
"31-03-2023 : 31",172092
"31-03-2023 : 32",172978
"31-03-2023 : 33",173791
"31-03-2023 : 34",174422
"31-03-2023 : 35",176439
"31-03-2023 : 36",178249
"31-03-2023 : 37",179754
"31-03-2023 : 38",182818
"31-03-2023 : 39",185171
"31-03-2023 : 40",187174
"31-03-2023 : 41",187446
"31-03-2023 : 42",187702
"31-03-2023 : 43",188005
"31-03-2023 : 44",187635
"31-03-2023 : 45",187653
"31-03-2023 : 46",187476
"31-03-2023 : 47",187415
"31-03-2023 : 48",187412
"31-03-2023 : 49",186303
"31-03-2023 : 50",185641
"31-03-2023 : 51",185941
"31-03-2023 : 52",184902
"31-03-2023 : 53",183299
"31-03-2023 : 54",179042
"31-03-2023 : 55",179353
"31-03-2023 : 56",178242
"31-03-2023 : 57",177458
"31-03-2023 : 58",178083
"31-03-2023 : 59",178990
"31-03-2023 : 60",179313
"31-03-2023 : 61",179829
"31-03-2023 : 62",178372
"31-03-2023 : 63",178409
"31-03-2023 : 64",177654
"31-03-2023 : 65",177129
"31-03-2023 : 66",175169
"31-03-2023 : 67",175524
"31-03-2023 : 68",174242
"31-03-2023 : 69",173974
"31-03-2023 : 70",170985
"31-03-2023 : 71",170177
"31-03-2023 : 72",168899
"31-03-2023 : 73",168906
"31-03-2023 : 74",165890
"31-03-2023 : 75",168078
"31-03-2023 : 76",169825
"31-03-2023 : 77",172539
"31-03-2023 : 78",168002
"31-03-2023 : 79",173244
"31-03-2023 : 80",170805
"31-03-2023 : 81",168544
"31-03-2023 : 82",165956
"31-03-2023 : 83",164063
"31-03-2023 : 84",162936
"31-03-2023 : 85",161613
"31-03-2023 : 86",161626
"31-03-2023 : 87",161330
"31-03-2023 : 88",160686
"31-03-2023 : 89",159707
"31-03-2023 : 90",160869
"31-03-2023 : 91",161217
"31-03-2023 : 92",161745
"31-03-2023 : 93",160781
"31-03-2023 : 94",160398
"31-03-2023 : 95",159861
"31-03-2023 : 96",158329
"01-04-2023 : 1",157112
"01-04-2023 : 2",157177
"01-04-2023 : 3",156616
"01-04-2023 : 4",155622
"01-04-2023 : 5",154762
"01-04-2023 : 6",153436
"01-04-2023 : 7",152461
"01-04-2023 : 8",151869
"01-04-2023 : 9",150561
"01-04-2023 : 10",149808
"01-04-2023 : 11",148454
"01-04-2023 : 12",147691
"01-04-2023 : 13",146911
"01-04-2023 : 14",147396
"01-04-2023 : 15",147365
"01-04-2023 : 16",148654
"01-04-2023 : 17",149342
"01-04-2023 : 18",149985
"01-04-2023 : 19",150751
"01-04-2023 : 20",151532
"01-04-2023 : 21",152721
"01-04-2023 : 22",154542
"01-04-2023 : 23",157518
"01-04-2023 : 24",158474
"01-04-2023 : 25",160233
"01-04-2023 : 26",160145
"01-04-2023 : 27",164060
"01-04-2023 : 28",164441
"01-04-2023 : 29",165389
"01-04-2023 : 30",166000
"01-04-2023 : 31",167010
"01-04-2023 : 32",166379
"01-04-2023 : 33",165845
"01-04-2023 : 34",167284
"01-04-2023 : 35",169178
"01-04-2023 : 36",170511
"01-04-2023 : 37",171839
"01-04-2023 : 38",175075
"01-04-2023 : 39",176996
"01-04-2023 : 40",178576
"01-04-2023 : 41",179307
"01-04-2023 : 42",179308
"01-04-2023 : 43",179913
"01-04-2023 : 44",179682
"01-04-2023 : 45",179773
"01-04-2023 : 46",179092
"01-04-2023 : 47",179460
"01-04-2023 : 48",179786
"01-04-2023 : 49",179308
"01-04-2023 : 50",178537
"01-04-2023 : 51",177691
"01-04-2023 : 52",177073
"01-04-2023 : 53",175239
"01-04-2023 : 54",172165
"01-04-2023 : 55",171814
"01-04-2023 : 56",172843
"01-04-2023 : 57",172459
"01-04-2023 : 58",172102
"01-04-2023 : 59",173338
"01-04-2023 : 60",173297
"01-04-2023 : 61",173544
"01-04-2023 : 62",173352
"01-04-2023 : 63",173427
"01-04-2023 : 64",173116
"01-04-2023 : 65",172421
"01-04-2023 : 66",169957
"01-04-2023 : 67",171043
"01-04-2023 : 68",170142
"01-04-2023 : 69",169183
"01-04-2023 : 70",166450
"01-04-2023 : 71",166184
"01-04-2023 : 72",164894
"01-04-2023 : 73",164760
"01-04-2023 : 74",163110
"01-04-2023 : 75",166002
"01-04-2023 : 76",167794
"01-04-2023 : 77",170952
"01-04-2023 : 78",172622
"01-04-2023 : 79",173252
"01-04-2023 : 80",171689
"01-04-2023 : 81",169750
"01-04-2023 : 82",168421
"01-04-2023 : 83",167035
"01-04-2023 : 84",165829
"01-04-2023 : 85",164948
"01-04-2023 : 86",165186
"01-04-2023 : 87",163703
"01-04-2023 : 88",162774
"01-04-2023 : 89",161492
"01-04-2023 : 90",163507
"01-04-2023 : 91",163834
"01-04-2023 : 92",162809
"01-04-2023 : 93",162173
"01-04-2023 : 94",161682
"01-04-2023 : 95",160987
"01-04-2023 : 96",160282
"02-04-2023 : 1",160389
"02-04-2023 : 2",159769
"02-04-2023 : 3",159285
"02-04-2023 : 4",158758
"02-04-2023 : 5",157919
"02-04-2023 : 6",157307
"02-04-2023 : 7",155842
"02-04-2023 : 8",155023
"02-04-2023 : 9",154739
"02-04-2023 : 10",153582
"02-04-2023 : 11",152541
"02-04-2023 : 12",152697
"02-04-2023 : 13",152335
"02-04-2023 : 14",151420
"02-04-2023 : 15",152060
"02-04-2023 : 16",152288
"02-04-2023 : 17",152638
"02-04-2023 : 18",152983
"02-04-2023 : 19",154499
"02-04-2023 : 20",155244
"02-04-2023 : 21",155739
"02-04-2023 : 22",156661
"02-04-2023 : 23",158114
"02-04-2023 : 24",159782
"02-04-2023 : 25",161026
"02-04-2023 : 26",162107
"02-04-2023 : 27",161515
"02-04-2023 : 28",164054
"02-04-2023 : 29",164382
"02-04-2023 : 30",164381
"02-04-2023 : 31",165191
"02-04-2023 : 32",165637
"02-04-2023 : 33",165994
"02-04-2023 : 34",165458
"02-04-2023 : 35",166491
"02-04-2023 : 36",168294
"02-04-2023 : 37",169281
"02-04-2023 : 38",170747
"02-04-2023 : 39",172313
"02-04-2023 : 40",173556
"02-04-2023 : 41",174483
"02-04-2023 : 42",174494
"02-04-2023 : 43",174336
"02-04-2023 : 44",174239
"02-04-2023 : 45",174107
"02-04-2023 : 46",173711
"02-04-2023 : 47",173379
"02-04-2023 : 48",173638
"02-04-2023 : 49",173593
"02-04-2023 : 50",173016
"02-04-2023 : 51",171465
"02-04-2023 : 52",171413
"02-04-2023 : 53",170507
"02-04-2023 : 54",168593
"02-04-2023 : 55",167851
"02-04-2023 : 56",166158
"02-04-2023 : 57",165669
"02-04-2023 : 58",165628
"02-04-2023 : 59",164519
"02-04-2023 : 60",165144
"02-04-2023 : 61",165013
"02-04-2023 : 62",165125
"02-04-2023 : 63",164117
"02-04-2023 : 64",164337
"02-04-2023 : 65",163707
"02-04-2023 : 66",162460
"02-04-2023 : 67",160816
"02-04-2023 : 68",160512
"02-04-2023 : 69",160270
"02-04-2023 : 70",159018
"02-04-2023 : 71",156778
"02-04-2023 : 72",156166
"02-04-2023 : 73",155451
"02-04-2023 : 74",155557
"02-04-2023 : 75",153845
"02-04-2023 : 76",157161
"02-04-2023 : 77",160504
"02-04-2023 : 78",165129
"02-04-2023 : 79",168168
"02-04-2023 : 80",169190
"02-04-2023 : 81",168039
"02-04-2023 : 82",166324
"02-04-2023 : 83",165155
"02-04-2023 : 84",163955
"02-04-2023 : 85",162820
"02-04-2023 : 86",161828
"02-04-2023 : 87",161979
"02-04-2023 : 88",161497
"02-04-2023 : 89",160866
"02-04-2023 : 90",160856
"02-04-2023 : 91",162579
"02-04-2023 : 92",162233
"02-04-2023 : 93",162075
"02-04-2023 : 94",161060
"02-04-2023 : 95",161520
"02-04-2023 : 96",160568
"03-04-2023 : 1",159962
"03-04-2023 : 2",158105
"03-04-2023 : 3",158027
"03-04-2023 : 4",157555
"03-04-2023 : 5",157010
"03-04-2023 : 6",156077
"03-04-2023 : 7",155055
"03-04-2023 : 8",153834
"03-04-2023 : 9",153126
"03-04-2023 : 10",151872
"03-04-2023 : 11",151890
"03-04-2023 : 12",151428
"03-04-2023 : 13",151285
"03-04-2023 : 14",150364
"03-04-2023 : 15",150730
"03-04-2023 : 16",150708
"03-04-2023 : 17",151304
"03-04-2023 : 18",151283
"03-04-2023 : 19",152923
"03-04-2023 : 20",153701
"03-04-2023 : 21",154560
"03-04-2023 : 22",156120
"03-04-2023 : 23",158911
"03-04-2023 : 24",161045
"03-04-2023 : 25",163215
"03-04-2023 : 26",165067
"03-04-2023 : 27",167868
"03-04-2023 : 28",170503
"03-04-2023 : 29",171094
"03-04-2023 : 30",170686
"03-04-2023 : 31",171267
"03-04-2023 : 32",171420
"03-04-2023 : 33",172042
"03-04-2023 : 34",172527
"03-04-2023 : 35",173973
"03-04-2023 : 36",176083
"03-04-2023 : 37",178697
"03-04-2023 : 38",180776
"03-04-2023 : 39",183632
"03-04-2023 : 40",185630
"03-04-2023 : 41",186271
"03-04-2023 : 42",185717
"03-04-2023 : 43",186275
"03-04-2023 : 44",187380
"03-04-2023 : 45",187265
"03-04-2023 : 46",186773
"03-04-2023 : 47",187425
"03-04-2023 : 48",186889
"03-04-2023 : 49",186565
"03-04-2023 : 50",185486
"03-04-2023 : 51",184515
"03-04-2023 : 52",183381
"03-04-2023 : 53",182820
"03-04-2023 : 54",179392
"03-04-2023 : 55",177617
"03-04-2023 : 56",178341
"03-04-2023 : 57",178770
"03-04-2023 : 58",177914
"03-04-2023 : 59",178905
"03-04-2023 : 60",179280
"03-04-2023 : 61",180089
"03-04-2023 : 62",180019
"03-04-2023 : 63",180038
"03-04-2023 : 64",179593
"03-04-2023 : 65",179583
"03-04-2023 : 66",179210
"03-04-2023 : 67",178888
"03-04-2023 : 68",178549
"03-04-2023 : 69",177542
"03-04-2023 : 70",175549
"03-04-2023 : 71",173951
"03-04-2023 : 72",173035
"03-04-2023 : 73",172736
"03-04-2023 : 74",171914
"03-04-2023 : 75",171955
"03-04-2023 : 76",174752
"03-04-2023 : 77",178924
"03-04-2023 : 78",180983
"03-04-2023 : 79",182212
"03-04-2023 : 80",181673
"03-04-2023 : 81",180815
"03-04-2023 : 82",178270
"03-04-2023 : 83",176621
"03-04-2023 : 84",175772
"03-04-2023 : 85",174195
"03-04-2023 : 86",172867
"03-04-2023 : 87",174215
"03-04-2023 : 88",173045
"03-04-2023 : 89",172099
"03-04-2023 : 90",170494
"03-04-2023 : 91",172128
"03-04-2023 : 92",171798
"03-04-2023 : 93",172024
"03-04-2023 : 94",170316
"03-04-2023 : 95",169767
"03-04-2023 : 96",169835
"04-04-2023 : 1",169073
"04-04-2023 : 2",168108
"04-04-2023 : 3",167349
"04-04-2023 : 4",166938
"04-04-2023 : 5",166204
"04-04-2023 : 6",165521
"04-04-2023 : 7",164253
"04-04-2023 : 8",164092
"04-04-2023 : 9",163122
"04-04-2023 : 10",162141
"04-04-2023 : 11",161601
"04-04-2023 : 12",161393
"04-04-2023 : 13",161356
"04-04-2023 : 14",161330
"04-04-2023 : 15",161152
"04-04-2023 : 16",160662
"04-04-2023 : 17",160114
"04-04-2023 : 18",160509
"04-04-2023 : 19",160555
"04-04-2023 : 20",161076
"04-04-2023 : 21",161390
"04-04-2023 : 22",161950
"04-04-2023 : 23",162746
"04-04-2023 : 24",164058
"04-04-2023 : 25",165966
"04-04-2023 : 26",166188
"04-04-2023 : 27",169675
"04-04-2023 : 28",171316
"04-04-2023 : 29",172915
"04-04-2023 : 30",173390
"04-04-2023 : 31",174516
"04-04-2023 : 32",175899
"04-04-2023 : 33",175527
"04-04-2023 : 34",175801
"04-04-2023 : 35",177397
"04-04-2023 : 36",179536
"04-04-2023 : 37",181768
"04-04-2023 : 38",183148
"04-04-2023 : 39",186238
"04-04-2023 : 40",187599
"04-04-2023 : 41",189563
"04-04-2023 : 42",188373
"04-04-2023 : 43",187674
"04-04-2023 : 44",188056
"04-04-2023 : 45",188060
"04-04-2023 : 46",187262
"04-04-2023 : 47",182762
"04-04-2023 : 48",187789
"04-04-2023 : 49",188744
"04-04-2023 : 50",186847
"04-04-2023 : 51",186310
"04-04-2023 : 52",186451
"04-04-2023 : 53",185623
"04-04-2023 : 54",182494
"04-04-2023 : 55",181564
"04-04-2023 : 56",181439
"04-04-2023 : 57",182209
"04-04-2023 : 58",181255
"04-04-2023 : 59",182918
"04-04-2023 : 60",183576
"04-04-2023 : 61",183817
"04-04-2023 : 62",183655
"04-04-2023 : 63",182942
"04-04-2023 : 64",183269
"04-04-2023 : 65",183984
"04-04-2023 : 66",182403
"04-04-2023 : 67",180747
"04-04-2023 : 68",179620
"04-04-2023 : 69",178913
"04-04-2023 : 70",176358
"04-04-2023 : 71",175714
"04-04-2023 : 72",173785
"04-04-2023 : 73",173808
"04-04-2023 : 74",171720
"04-04-2023 : 75",173296
"04-04-2023 : 76",178372
"04-04-2023 : 77",181395
"04-04-2023 : 78",184302
"04-04-2023 : 79",185034
"04-04-2023 : 80",183548
"04-04-2023 : 81",181454
"04-04-2023 : 82",179661
"04-04-2023 : 83",178577
"04-04-2023 : 84",177431
"04-04-2023 : 85",176512
"04-04-2023 : 86",176609
"04-04-2023 : 87",175452
"04-04-2023 : 88",174285
