"Category","All India"
"03-01-2023 : 21",143038
"03-01-2023 : 22",146415
"03-01-2023 : 23",150176
"03-01-2023 : 24",153721
"03-01-2023 : 25",156368
"03-01-2023 : 26",159870
"03-01-2023 : 27",165842
"03-01-2023 : 28",169561
"03-01-2023 : 29",174711
"03-01-2023 : 30",178445
"03-01-2023 : 31",181827
"03-01-2023 : 32",184030
"03-01-2023 : 33",186409
"03-01-2023 : 34",188881
"03-01-2023 : 35",190610
"03-01-2023 : 36",193012
"03-01-2023 : 37",193926
"03-01-2023 : 38",198307
"03-01-2023 : 39",199715
"03-01-2023 : 40",202413
"03-01-2023 : 41",203576
"03-01-2023 : 42",204555
"03-01-2023 : 43",204467
"03-01-2023 : 44",205102
"03-01-2023 : 45",204425
"03-01-2023 : 46",204074
"03-01-2023 : 47",202830
"03-01-2023 : 48",202332
"03-01-2023 : 49",202562
"03-01-2023 : 50",200979
"03-01-2023 : 51",201296
"03-01-2023 : 52",199375
"03-01-2023 : 53",198114
"03-01-2023 : 54",194964
"03-01-2023 : 55",194677
"03-01-2023 : 56",194808
"03-01-2023 : 57",193416
"03-01-2023 : 58",193107
"03-01-2023 : 59",192759
"03-01-2023 : 60",193293
"03-01-2023 : 61",192182
"03-01-2023 : 62",190068
"03-01-2023 : 63",190004
"03-01-2023 : 64",189509
"03-01-2023 : 65",188428
"03-01-2023 : 66",186028
"03-01-2023 : 67",186585
"03-01-2023 : 68",185233
"03-01-2023 : 69",185000
"03-01-2023 : 70",184460
"03-01-2023 : 71",184470
"03-01-2023 : 72",182620
"03-01-2023 : 73",184539
"03-01-2023 : 74",184490
"03-01-2023 : 75",186252
"03-01-2023 : 76",187047
"03-01-2023 : 77",186104
"03-01-2023 : 78",185328
"03-01-2023 : 79",181979
"03-01-2023 : 80",180689
"03-01-2023 : 81",178783
"03-01-2023 : 82",175856
"03-01-2023 : 83",174908
"03-01-2023 : 84",172519
"03-01-2023 : 85",169977
"03-01-2023 : 86",167914
"03-01-2023 : 87",165414
"03-01-2023 : 88",163053
"03-01-2023 : 89",160486
"03-01-2023 : 90",159083
"03-01-2023 : 91",156918
"03-01-2023 : 92",154768
"03-01-2023 : 93",153232
"03-01-2023 : 94",150723
"03-01-2023 : 95",149222
"03-01-2023 : 96",147402
"04-01-2023 : 1",146021
"04-01-2023 : 2",143984
"04-01-2023 : 3",143574
"04-01-2023 : 4",142308
"04-01-2023 : 5",141524
"04-01-2023 : 6",139911
"04-01-2023 : 7",139444
"04-01-2023 : 8",138703
"04-01-2023 : 9",137593
"04-01-2023 : 10",136488
"04-01-2023 : 11",136071
"04-01-2023 : 12",135761
"04-01-2023 : 13",136028
"04-01-2023 : 14",135084
"04-01-2023 : 15",134891
"04-01-2023 : 16",135278
"04-01-2023 : 17",135666
"04-01-2023 : 18",137562
"04-01-2023 : 19",140244
"04-01-2023 : 20",142190
"04-01-2023 : 21",145330
"04-01-2023 : 22",147367
"04-01-2023 : 23",150862
"04-01-2023 : 24",154879
"04-01-2023 : 25",158950
"04-01-2023 : 26",161658
"04-01-2023 : 27",166665
"04-01-2023 : 28",171486
"04-01-2023 : 29",176447
"04-01-2023 : 30",179590
"04-01-2023 : 31",182926
"04-01-2023 : 32",185439
"04-01-2023 : 33",187390
"04-01-2023 : 34",189491
"04-01-2023 : 35",191882
"04-01-2023 : 36",193932
"04-01-2023 : 37",195951
"04-01-2023 : 38",199992
"04-01-2023 : 39",201564
"04-01-2023 : 40",202426
"04-01-2023 : 41",202709
"04-01-2023 : 42",203156
"04-01-2023 : 43",203257
"04-01-2023 : 44",203441
"04-01-2023 : 45",202557
"04-01-2023 : 46",201894
"04-01-2023 : 47",201657
"04-01-2023 : 48",200392
"04-01-2023 : 49",200372
"04-01-2023 : 50",199116
"04-01-2023 : 51",198676
"04-01-2023 : 52",198224
"04-01-2023 : 53",197774
"04-01-2023 : 54",194743
"04-01-2023 : 55",193875
"04-01-2023 : 56",194041
"04-01-2023 : 57",191895
"04-01-2023 : 58",191197
"04-01-2023 : 59",191535
"04-01-2023 : 60",191128
"04-01-2023 : 61",190606
"04-01-2023 : 62",188840
"04-01-2023 : 63",188443
"04-01-2023 : 64",186972
"04-01-2023 : 65",186604
"04-01-2023 : 66",184448
"04-01-2023 : 67",185094
"04-01-2023 : 68",185009
"04-01-2023 : 69",183339
"04-01-2023 : 70",182007
"04-01-2023 : 71",183213
"04-01-2023 : 72",183693
"04-01-2023 : 73",185281
"04-01-2023 : 74",185744
"04-01-2023 : 75",187057
"04-01-2023 : 76",187278
"04-01-2023 : 77",185879
"04-01-2023 : 78",185032
"04-01-2023 : 79",183285
"04-01-2023 : 80",181588
"04-01-2023 : 81",178680
"04-01-2023 : 82",176546
"04-01-2023 : 83",174354
"04-01-2023 : 84",172345
"04-01-2023 : 85",169837
"04-01-2023 : 86",168590
"04-01-2023 : 87",166298
"04-01-2023 : 88",163954
"04-01-2023 : 89",160875
"04-01-2023 : 90",160225
"04-01-2023 : 91",158636
"04-01-2023 : 92",155773
